id,county_id,foreststation,created_at,updated_at
1,27,BAHATI,,
2,27,BARAGET,,
3,27,BIKIA,,
4,31,BONI,,
5,8,BUDA,,
6,48,BUNYALA,,
7,2,CASTLE,,
8,38,CENGALO,,
9,35,CERENGONI,,
10,6,CHEHE,,
11,24,CHEMORGOK,,
12,24,CHEMUSUSU,,
13,25,CHEPALUNGU,,
14,46,CHEPTAIS,,
15,34,CHEPTONGEI,,
16,34,CHERANGANI,,
17,34,CHESOI,,
18,18,CHUKA,,
19,27,DUNDORI,,
20,27,EBURU,,
21,24,ESAGERI,,
22,17,FOREST ADVISORY SERVICE,,
23,31,GARISSA,,
24,4,GATARE,,
25,6,GATHIURU,,
26,7,GEDE,,
27,40,GEMBE HILLS,,
28,5,GETA,,
29,40,GWASSI,,
30,40,HOMA HILLS,,
31,6,HOMBE ,,
32,22,HQ,,
33,13,IRANGI,,
34,19,ISIOLO,,
35,25,ITARE,,
36,15,IVETI,,
37,27,JERET,,
38,7,JILORE,,
39,6,KABAGE,,
40,24,KABARNET,,
41,6,KABARU,,
42,46,KABERUA,,
43,46,KABOWYA,,
44,48,KAKAMEGA,,
45,1,KAMAE,,
46,2,KANGAITA,,
47,35,KAPCHORUA ,,
48,39,KAPENGURIA,,
49,36,KAPOLET,,
50,38,KAPSARET,,
51,34,KAPTAGAT,,
52,34,KAPYEGO,,
53,30,KARURA,,
54,2,KATHANDE-INI,,
55,1,KEREITA,,
56,26,KERICHO,,
57,26,KERISOI,,
58,34,KESSUP ,,
59,23,KFC,,
60,4,KIAMBICHO,,
61,6,KIANDONGORO,,
62,13,KIANGOMBE,,
63,13,KIANJURI HILL-SIAKAGO,,
64,49,KIBIRI,,
65,16,KIBWEZI,,
66,1,KIENI,,
67,16,KILUNGU ,,
68,4,KIMAKIA,,
69,35,KIMONDI,,
70,36,KIMOTHON,,
71,1,KINALE,,
72,9,KIPINI,,
73,34,KIPKABUS ,,
74,38,KIPKURERE,,
75,36,KIPTOGOT,,
76,24,KIPTUGET,,
77,27,KIPTUNGA,,
78,41,KISII,,
79,42,KISUMU,,
80,36,KITALE TOWNSHIP,,
81,14,KITUI,,
82,35,KOBUJOI ,,
83,40,KODERA,,
84,24,KOIBATEK,,
85,8,KWALE,,
86,40,LAMBWE,,
87,9,LAMU ISLAND,,
88,3,LARIAK,,
89,27,LOGOMAN,,
90,29,LOITOKITOK,,
91,26,LONDIANI,,
92,38,LORENGE,,
93,17,LOWER IMENTI,,
94,48,LUGARI,,
95,24,MAJI MAZURI,,
96,16,MAKULI,,
97,26,MAKUTANO,,
98,26,MALAGAT,,
99,48,MALAVA,,
100,32,MANDERA,,
101,9,MANGAI,,
102,49,MARAGOLI HILLS,,
103,21,MARALAL,,
104,25,MARAMARA,,
105,13,MARANGA HILL-EMBU EAST,,
106,17,MARANIA,,
107,27,MARIASHONI,,
108,24,MARIGAT,,
109,20,MARSABIT,,
110,16,MBOONI,,
111,27,MENENGAI,,
112,17,MERU,,
113,43,MIGORI,,
114,24,MOGOTIO,,
115,27,MOLO ,,
116,10,MOMBASA,,
117,17,MUCHEENE,,
118,1,MUGUGA,,
119,3,MUKOGONDO,,
120,14,MUMONI,,
121,6,MURINGATO,,
122,14,MUTITU,,
123,14,MUTOMO,,
124,15,MUUMANDU,,
125,5,N. KINANGOP,,
126,3,N. MARMANET,,
127,5,N.KINANGOP,,
128,38,NABKOI,,
129,28,NAIROTIA,,
130,29,NAMANGA,,
131,35,NANDI NORTH,,
132,6,NANYUKI,,
133,24,NARASHA ,,
134,6,NAROMORU,,
135,5,NDARAGWA,,
136,25,NDOINET,,
137,27,NESSUTE,,
138,17,NGARENDARE,,
139,17,NGAYA,,
140,29,NGONG HILLS,,
141,30,NGONG ROAD,,
142,13,NJUKIINI EAST,,
143,2,NJUKIINI WEST,,
144,16,NTHANGU,,
145,14,NUU,,
146,17,NYAMBENE,,
147,44,NYAMIRA,,
148,28,NYANGORES,,
149,48,NZOIA,,
150,24,OL ARABEL,,
151,5,OLBOLOSSAT,,
152,28,OLENGURUONE,,
153,28,OLPUSIMORU,,
154,17,ONTULILI,,
155,9,PANDANGUO,,
156,34,PENON,,
157,47,PORT VICTORIA,,
158,6,RAGATI ,,
159,1,RAGIA,,
160,3,RUMURUTI,,
161,17,RUTHUMBI,,
162,3,S. MARMANET,,
163,5,S.KINANGOP,,
164,24,SABATIA,,
165,34,SABOR,,
166,36,SABOTI,,
167,27,SAINO,,
168,21,SAMBURU,,
169,3,SHAMANEK,,
170,45,SIAYA,,
171,7,SOKOKE,,
172,26,SORGET,,
173,36,SOSIO,,
174,21,SOUTH HORROR,,
175,36,SUAM,,
176,27,SURURU,,
177,11,TAITA TAVETA,,
178,12,TANA RIVER,,
179,26,TENDENO,,
180,24,TENGES,,
181,1,THOGOTO,,
182,17,TIGANIA EAST /MUTHARA,,
183,38,TIMBOROA,,
184,35,TINDERET,,
185,48,TURBO,,
186,1,UPLANDS,,
187,15,UUNI,,
188,33,WAJIR,,
189,21,WAMBA,,
190,4,WANJERERE,,
191,40,WIRE,,
192,9,WITU,,
193,6,ZAINA,,
194,6,ZUTI,,
